,Registration Number,Annual Turnover
0,50001,34936585.53785358
1,50002,27311027.79034078
2,50003,26419763.935011547
3,50004,40168835.91109136
4,50005,32920025.325692438
5,50006,39006245.5507844
6,50007,26774986.398528665
7,50008,21008637.015317746
8,50009,34502939.71266396
9,50010,34774313.498066284
10,50011,37388468.653150514
11,50012,20629316.803637102
12,50013,33190894.932428826
13,50014,31530914.64334396
14,50015,40415951.09660184
15,50016,28300929.019703053
16,50017,19745488.043240108
17,50018,27440279.108674977
18,50019,40631686.703956425
19,50020,32002717.112590782
20,50021,29083782.81385444
21,50022,32471153.84652876
22,50023,22348109.209519617
23,50024,26557019.766180888
24,50025,21412997.638665155
25,50026,35168679.28514332
26,50027,38242110.359876275
27,50028,20670317.22769127
28,50029,29263509.766027812
29,50030,23942550.03994283
30,50031,41655233.56480025
31,50032,37318397.810014956
32,50033,42575594.37565775
33,50034,32145013.742247984
34,50035,32045853.70492552
35,50036,24743792.209524684
36,50037,40075174.067021094
37,50038,27642774.360124514
38,50039,32235139.25696046
39,50040,27173005.672628142
40,50041,39436786.00265625
41,50042,39663247.652596235
42,50043,26858898.105381984
43,50044,39345909.485376045
44,50045,36696087.877424814
45,50046,31801434.44658908
46,50047,19668492.063019123
47,50048,40368108.495697536
48,50049,39128693.487017125
49,50050,21570712.09499737
50,50051,19182339.509251006
51,50052,24753000.911820725
52,50053,33442162.537032768
53,50054,23776030.77760306
54,50055,40273225.088448815
55,50056,34820158.8261754
56,50057,30863763.874773808
57,50058,38955765.461054176
58,50059,31390004.97514986
59,50060,21284316.264856294
60,50061,30685738.870086525
61,50062,31540456.202796947
62,50063,30619365.656213224
63,50064,30003884.3763952
64,50065,45936771.315227866
65,50066,29048737.60315691
66,50067,21542922.89094772
67,50068,31495835.247981116
68,50069,29636604.459681153
69,50070,25573931.028293148
70,50071,27275275.96288254
71,50072,37454993.60462895
72,50073,30684394.92316387
73,50074,28353565.29684715
74,50075,30788964.47048607
75,50076,26910232.284193683
76,50077,27626243.86490718
77,50078,18410779.92766666
78,50079,25504379.71568995
79,50080,31998069.964223478
80,50081,20289813.14042741
81,50082,34449262.918077946
82,50083,23989050.487126537
83,50084,32958109.858568378
84,50085,29705423.31022684
85,50086,27475242.5713825
86,50087,22564547.572131388
87,50088,48534082.460603386
88,50089,39906935.53083943
89,50090,26845003.693611994
90,50091,17613758.570802487
91,50092,26543296.38179192
92,50093,26240905.051894926
93,50094,29806519.483575314
94,50095,36922615.94808602
95,50096,23488287.677544538
96,50097,32078869.863245036
97,50098,36213417.209013775
98,50099,34328705.710684955
99,50100,31803296.362427466
100,50101,34516805.51181675
101,50102,28482689.944792505
102,50103,35141784.658563316
103,50104,34006919.023012795
104,50105,35616246.91670434
105,50106,32113378.115325443
106,50107,39679310.06261149
107,50108,29275966.867348325
108,50109,44718866.989197135
109,50110,36220562.18750022
110,50111,36883074.9015315
111,50112,27069080.911731232
112,50113,25384691.750184868
113,50114,37868522.13446718
114,50115,25138717.72593297
115,50116,32523006.246417582
116,50117,30705017.48034353
117,50118,25340012.177692533
118,50119,12507907.962472111
119,50120,22916555.94039517
120,50121,25328039.615267105
121,50122,25333548.628229797
122,50123,29248301.936487623
123,50124,19305613.599322252
124,50125,21858371.493069217
125,50126,22218469.99939411
126,50127,26957144.467620663
127,50128,28544476.556389716
128,50129,18961945.256760444
129,50130,34931334.292631306
130,50131,25312339.66290463
