Registration Number,Annual Turnover
50001,24050000
50002,29925000
50003,42800000
50004,52375000
50005,70000000
50006,25825000
50007,28900000
50008,36075000
50009,36275000
50010,48000000
50011,34975000
50012,13300000
50013,17925000
50014,42775000
50015,24425000
50016,30800000
50017,34775000
50018,36775000
50019,22250000
50020,34325000
50021,18300000
50022,53300000
50023,19350000
50024,41700000
50025,42150000
50026,42000000
50027,26025000
50028,19500000
50029,9200000
50030,28150000
50031,45450000
50032,48300000
50033,53775000
50034,23100000
50035,9925000
50036,41575000
50037,18875000
50038,42025000
50039,57775000
50040,32425000
50041,27425000
50042,36250000
50043,18800000
50044,36700000
50045,59525000
50046,21600000
50047,12000000
50048,43150000
50049,38050000
50050,46825000
50051,28075000
50052,83450000
50053,27625000
50054,19800000
50055,24550000
50056,43450000
50057,20975000
50058,32850000
50059,41650000
50060,35500000
50061,21200000
50062,27200000
50063,12900000
50064,29400000
50065,71500000
50066,22500000
50067,13400000
50068,20525000
50069,18175000
50070,29000000
50071,43775000
50072,38725000
50073,30925000
50074,19025000
50075,10600000
50076,38025000
50077,15100000
50078,15600000
50079,29250000
50080,36200000
50081,34650000
50082,30275000
50083,19700000
50084,42325000
50085,35200000
50086,33350000
50087,10075000
50088,42600000
50089,33025000
50090,27875000
50091,13300000
50092,37100000
50093,49225000
50094,21600000
50095,23875000
50096,24725000
50097,28675000
50098,36600000
50099,34000000
50100,12000000
50101,31900000
50102,48350000
50103,33850000
50104,30725000
50105,53675000
50106,61875000
50107,40600000
50108,28750000
50109,32800000
50110,11675000
50111,50250000
50112,54700000
50113,19050000
50114,30250000
50115,10325000
50116,34725000
50117,16500000
50118,19975000
50119,13200000
50120,32800000
50121,32650000
50122,12000000
50123,10400000
50124,46650000
50125,18000000
50126,10925000
50127,25650000
50128,27950000
50129,10375000
50130,10700000
50131,24600000
50132,18350000
50133,30300000
50134,25300000
50135,37500000
50136,44725000
50137,20875000
50138,32600000
50139,16125000
50140,20975000
50141,34125000
50142,33100000
50143,28800000
50144,21850000
50145,16750000
50146,73800000
50147,22700000
50148,26350000
50149,16300000
50150,22300000
50151,26525000
50152,37000000
50153,24200000
50154,28550000
50155,40250000
50156,17900000
50157,42200000
50158,15925000
50159,24000000
50160,25600000
50161,15775000
50162,22450000
50163,29475000
50164,41150000
50165,56100000
50166,14575000
50167,38800000
50168,18700000
50169,25000000
50170,10800000
50171,41800000
50172,17925000
50173,35425000
50174,50900000
50175,26800000
50176,39725000
50177,24700000
50178,21850000
50179,16400000
50180,34500000
50181,23100000
50182,35975000
50183,22500000
50184,31875000
50185,46125000
50186,30900000
50187,37000000
50188,61950000
50189,32425000
50190,31000000
50191,29075000
50192,33950000
50193,31425000
50194,13100000
50195,19800000
50196,44500000
50197,17000000
50198,28825000
50199,33525000
50200,35725000
50201,25075000
50202,21325000
50203,32400000
50204,42900000
50205,12625000
50206,38000000
50207,46150000
50208,60875000
50209,18175000
50210,75500000
50211,29675000
50212,19725000
50213,75500000
50214,26800000
50215,31625000
50216,22000000
50217,56400000
50218,48250000
50219,33250000
50220,21525000
50221,44600000
50222,33625000
50223,13200000
50224,21700000
50225,29275000
50226,19600000
50227,15325000
50228,15475000
50229,21050000
50230,18800000
50231,30250000
50232,14975000
50233,25075000
50234,32325000
50235,29625000
50236,22000000
50237,27425000
50238,18000000
50239,8050000
50240,70400000
50241,15525000
