Registration Number,Annual Turnover
50001,35026199.04
50002,27422849.97
50003,26767583.61
50004,39476280.04
50005,31687548.8
50006,38803617.59
50007,25664200.98
50008,21423020.91
50009,34995022.57
50010,33668515.35
50011,38083324.25
50012,19209999.41
50013,32707230.22
50014,32019155.43
50015,40169709.72
50016,29398076.06
50017,19509558.15
50018,28154576.97
50019,40834492.54
50020,31298114.82
50021,29128491.25
50022,32106752.87
50023,22001868.85
50024,26595962.31
50025,20662379.88
50026,34554414.35
50027,36912941.59
50028,21494427.19
50029,28707227.7
50030,23425397.3
50031,41006910.97
50032,37227409.47
50033,40892394.17
50034,31820226
50035,32439384.19
50036,24709936.26
50037,38737654.34
50038,26710927.13
50039,33514619.33
50040,27088556.56
50041,40178659.78
50042,38271847.01
50043,25516559.61
50044,38583195.51
50045,36014909.05
50046,32101137.51
50047,18895082.66
50048,38998658.42
50049,38569377.61
50050,21362536.81
50051,20734540.58
50052,23326937.78
50053,32269240.62
50054,23395606.7
50055,40739923.66
50056,34712941.41
50057,29999874.39
50058,40059111.73
50059,30646280.34
50060,20138739.5
50061,29151782.91
50062,30879242.79
50063,28790126.84
50064,29825569.83
50065,45069868.72
50066,28304210.88
50067,20304608.47
50068,32415150.3
50069,31164115.14
50070,24834266.05
50071,27472564.74
50072,37397241.8
50073,29392578.62
50074,27798968.84
50075,30068436.92
50076,25571417.32
50077,26957053.06
50078,18889624.94
50079,25148891.7
50080,31889856.74
50081,20307554.71
50082,35335613.55
50083,24092141.39
50084,32925663.13
50085,29662587.87
50086,27811962.02
50087,22962028.46
50088,46305393.31
50089,40012480.1
50090,26373325.07
50091,17474529.65
50092,26042707.47
50093,26869671.06
50094,30587768.7
50095,37889338.13
50096,24200374.64
50097,31714280.26
50098,36263174.42
50099,34294614.59
50100,31259054.21
50101,33767316.3
50102,28864362.97
50103,35803248.06
50104,33945122.09
50105,35704032.94
50106,32094427.72
50107,40498638.42
50108,29528036.55
50109,45841192.37
50110,35237609.72
50111,37691870.43
50112,26070533.3
50113,25601494.88
50114,36973614.28
50115,26463668.37
50116,32134664.49
50117,31226797.5
50118,24524867.48
50119,12629946.39
50120,22892734.06
50121,25314135.4
50122,24576356.32
50123,28486470.2
50124,17725731.9
50125,22593074.64
50126,22683506.13
50127,26455869.71
50128,27698169.59
50129,19448267.43
50130,35902559.91
50131,25870149.97
50132,25947741.68
50133,37872417.27
50134,24430991.23
50135,34585247.64
50136,41394872.56
50137,35448706.79
50138,35506747.59
50139,25717122.5
50140,24925891.45
50141,31553059.2
50142,34406440.79
50143,24035395.8
50144,31924439.36
50145,26102239.76
50146,35366212.35
50147,39258521.4
50148,23871714.33
50149,23472226.78
50150,34453009.78
50151,26151622.83
50152,12528256.97
50153,39147921.11
50154,17874085.31
50155,39084459.13
50156,21240047.51
50157,31169051.79
50158,41909091.69
50159,31466806.63
50160,18128917.42
50161,34458236.13
50162,46877254.89
50163,28736904.56
50164,38081954.96
50165,34294276.43
50166,18917191.59
50167,32017737.67
50168,29516320.22
50169,35592386.72
50170,32903819.49
50171,41272028.49
50172,30308933.88
50173,39210997.74
50174,32830177.45
50175,34361339.28
50176,33241760.92
50177,37048225.46
50178,47106036.42
50179,15899827.7
50180,38267105.11
50181,25388064.84
50182,30247008.14
50183,24668684.11
50184,41688933.46
50185,37638531.33
50186,33996128.34
50187,23099221.69
50188,39580116.84
50189,27898065.33
50190,32232328.65
50191,28747602.11
50192,39712812.61
50193,38053296
50194,28900946.22
50195,39598599.13
50196,24666522.4
50197,25486254.72
50198,25049973.11
50199,24429522.49
50200,48782121.43
50201,17686434.54
50202,27893803.14
50203,14793862.76
50204,39974419.32
50205,29142827.76
50206,40580184.85
